Sequence,Description,Location,Pcs,Vendor Part Number,Vendor name
,"PNM723T30V01 N-Channel mosfet,Vds:30V,Vgs:±20V,Id:100mA,SOT-723,JCET",,4,PNM723T30V01,Prisemi
31,"CJMP3009G  P-channel mosfet,Vds:-30V,Vgs:±20V,Id:-9A,12.5mΩ,2X2mm,JCET","Q801,Q802,Q806,Q807,Q903,Q904,
Q905,Q906",8,CJMP3009G,JCET
,"FDMA530PZ  P-channel mosfet,Vds:-30V,Vgs:±25V,Id:-6.8A,35mΩ,2X2mm,Onsemi",,8,FDMA530PZ,Onsemi
,"PPM6N30V9 P-channel mosfet,Vds:-30V,Vgs:±12V,Id:-9A,35mΩ,2X2mm,Prisemi",,8,PPM6N30V9,Prisemi
32,"CJBA3134K N-Channel mosfet,Vds:20V,Vgs:±12V,Id:0.75A,900mΩ,DFN1006-3L,JCET","Q401,Q402,Q403,Q502,Q701,Q702,
Q703,Q808",8,CJBA3134K,JCET
,"PNM3FD201E0 N-Channel mosfet,Vds:20V,Vgs:±8V,Id:0.3A,700mΩ,DFN1006-3L,Prisemi",,8,PNM3FD201E0 ,Prisemi
33,"BZT52C5V1S Zener Diode,Vz:5.1V,200mW,SOD-323","D605,D606",2,BZT52C5V1S,JCET
,"PZ3D5V1H Zener Diode,Vz:5.1V,200mW,SOD-323",,2,PZ3D5V1H,Prisemi
34,"RB521S-40 schottky barrier diode,Vrwm:40V,Io:200mA,SOD-523,JCET","D603,D604",2,RB521S-40,SOD523
,"PSBD521S-40 schottky barrier diode,Vrwm:40V,Io:200mA,SOD-523,Prisemi",,2,PSBD521S-40,Prisemi
35,"B5819WS schottky barrier diode,Vrwm:40V,Io:1A,SOD-323,JCET","D601,D602",2,B5819WS,JCET
,"PSBD3D40V1H schottky barrier diode,Vrwm:40V,Io:1A,SOD-323,Prisemi",,2,PSBD3D40V1H,Prisemi
36,"Inductor,WPN4012H6R8MT,Isat:1.6A,Irms:1.6A,DCR:0.226,4012,Sunlord","L601,L602",2,WPN4012H6R8MT,Sunlord
37,"Inductor,WPN4012H2R2MT,Isat:2.8A,Irms:2.7A,DCR:0.079,4012,Sunlord",L801,1,WPN4012H2R2MT,Sunlord
38,"Inductor,WPN252012E1R0MT,1uH,Isat:4.5A,Irms:3.5A,DCR:0.044,2520,Sunlord","L901,L902",2,WPN252012E1R0MT,Sunlord
,"Inductor,MPIA252012-1R0M-LF,1uH,Isat:3.8A,Irms:3.3A,DCR:0.057,2520,Microgate",,2,MPIA252012-1R0M-LF,Microgate
39,"TVS,JE05B1RD20-2 5V 1-Line Bi-directional  Diode,0.5pF,100W,DFN1006-2,Jelan-Link","T409,T410",2,JE05B1RD20-2,Jelan-Link
40,"TVS,JS05B1LD20-2 5V 1-Line Bi-directional  Diode,110pF,200W,DFN1006-2,Jelan-Link","T901,T902",2,JS05B1LD20-2,Jelan-Link
41,"TVS,JE12B1LD20-2A 12V 1-Line Bi-directional  Diode,35pF,375W,DFN1006-2,Jelan-Link","T1001,T1002,T1003,T1004",4,JE12B1LD20-2A,Jelan-Link
42,"TVS,JE33B1RD20-2   3.3V 1-Line Bi-directional Diode,0.25pF,100W,DFN1006-2,Jelan-Link","T1101,T1102,T1103,T1104,T1105,
T1106,T1107,T1108,T1109,T1110",10,JE33B1RD20-2,Jelan-Link
43,"DF40C-100DS-0.4V(51),board to board connector,100Pin,0.2pitch,22.6X3.78X1.5mm,HRS","J301,J302,J501",3,DF40C-100DS-0.4V(51V),HRS
44,"TYPE-C-31-M-04,Type-C Female connector,9.85x9.87x2.56mm,HRO","J401,J502",2,TYPE-C-31-M-04,HRO
45,"FF0881SA1-R3000 Bottom contact 0.2mm narrow pitch,FPC thickness 0.15mm,81Pin,JAE","J601,J602",2,FF0881SA1-R3000,JAE
46,"BM02B(3)B-ADHSS-GAN-ETB,2Pin,Pitch:1.3mm,5.7x4.3x1.75mm,JST","J901,J902",2,BM02B-ADHSS-GAN-ETB,JST
47,"PJ-237-A ￠2.5 12x5x3.2mm,SMD,HRO",J1003,1,PJ-237-A,HRO
48,"ST-1187-3,Tact switch,5.2X5.2X3mm,SMD,sunrise","J1101,J1102,J1103,J1104,J1106",5,ST-1187-3,sunrise
49,"FPC connector, FH34SRJ-6S-0.5SH(50),6Pin,Pitch:0.5,4.9x3.3x1mm,FPC:0.3Glod,HRS",J1105,1,FH34SRJ-6S-0.5SH,HRS
